open_time,open,high,low,close,volume
2025-01-01 00:00:00+00:00,3337.78,3365.71,3335.84,3363.7,8894.4444
2025-01-01 01:00:00+00:00,3363.69,3366.4,3342.67,3346.54,6138.1376
2025-01-01 02:00:00+00:00,3346.54,3368.42,3346.35,3362.61,8775.81
2025-01-01 03:00:00+00:00,3362.61,3363.72,3351.0,3355.2,4025.4646
2025-01-01 04:00:00+00:00,3355.2,3356.61,3339.45,3341.14,4626.6506
2025-01-01 05:00:00+00:00,3341.14,3351.57,3340.02,3345.41,3247.0621
2025-01-01 06:00:00+00:00,3345.41,3348.0,3336.88,3346.6,6325.1491
2025-01-01 07:00:00+00:00,3346.61,3350.49,3339.35,3347.12,5869.4211
2025-01-01 08:00:00+00:00,3347.11,3348.84,3331.56,3337.01,8469.9751
2025-01-01 09:00:00+00:00,3337.0,3341.0,3313.88,3334.64,18722.6924
2025-01-01 10:00:00+00:00,3334.83,3338.82,3325.7,3326.69,5694.9502
2025-01-01 11:00:00+00:00,3326.69,3348.35,3323.71,3341.0,6732.5827
2025-01-01 12:00:00+00:00,3341.01,3352.31,3338.58,3347.46,5866.8953
2025-01-01 13:00:00+00:00,3347.46,3353.5,3332.51,3343.37,6632.2317
2025-01-01 14:00:00+00:00,3343.37,3359.37,3328.2,3345.86,10728.9812
2025-01-01 15:00:00+00:00,3345.86,3355.91,3333.42,3352.93,7671.632
2025-01-01 16:00:00+00:00,3352.93,3357.19,3332.26,3338.68,9897.787
2025-01-01 17:00:00+00:00,3338.68,3344.81,3323.03,3343.7,6245.6219
2025-01-01 18:00:00+00:00,3343.71,3352.0,3333.26,3348.57,7571.9247
2025-01-01 19:00:00+00:00,3348.57,3364.14,3337.92,3356.55,12249.5259
2025-01-01 20:00:00+00:00,3356.56,3362.6,3352.0,3360.4,9048.4681
2025-01-01 21:00:00+00:00,3360.41,3371.39,3353.76,3368.39,8283.2453
2025-01-01 22:00:00+00:00,3368.39,3374.85,3359.0,3361.63,12395.1235
2025-01-01 23:00:00+00:00,3361.63,3366.79,3352.66,3360.38,6124.8096
2025-01-02 00:00:00+00:00,3360.39,3400.0,3354.5,3389.92,25353.4495
2025-01-02 01:00:00+00:00,3389.91,3405.6,3377.72,3383.92,12042.4553
2025-01-02 02:00:00+00:00,3383.93,3398.5,3378.0,3398.49,6649.5622
2025-01-02 03:00:00+00:00,3398.49,3401.99,3387.23,3388.55,8153.031
2025-01-02 04:00:00+00:00,3388.54,3427.54,3388.0,3417.69,21263.6161
2025-01-02 05:00:00+00:00,3417.69,3419.14,3403.99,3412.39,9082.2648
2025-01-02 06:00:00+00:00,3412.4,3415.68,3402.13,3410.37,6764.2091
2025-01-02 07:00:00+00:00,3410.37,3422.0,3408.79,3420.05,8269.1047
2025-01-02 08:00:00+00:00,3420.06,3442.62,3414.21,3437.93,12781.0633
2025-01-02 09:00:00+00:00,3437.92,3470.0,3434.4,3467.95,16975.8994
2025-01-02 10:00:00+00:00,3467.94,3476.0,3457.99,3468.81,13175.5473
2025-01-02 11:00:00+00:00,3468.81,3475.0,3456.87,3471.18,8525.1221
2025-01-02 12:00:00+00:00,3471.18,3481.14,3465.93,3480.48,11713.9902
2025-01-02 13:00:00+00:00,3480.48,3484.4,3459.44,3465.85,17496.4264
2025-01-02 14:00:00+00:00,3465.86,3509.99,3440.38,3495.19,48467.5536
2025-01-02 15:00:00+00:00,3495.15,3496.26,3456.52,3463.51,22439.9878
2025-01-02 16:00:00+00:00,3463.52,3491.19,3448.6,3469.54,20071.7158
2025-01-02 17:00:00+00:00,3469.54,3478.95,3428.99,3450.46,19324.2089
2025-01-02 18:00:00+00:00,3450.42,3465.53,3440.21,3465.24,10697.789
2025-01-02 19:00:00+00:00,3465.23,3474.69,3459.13,3463.18,9031.3711
2025-01-02 20:00:00+00:00,3463.18,3475.28,3452.04,3453.0,7230.9041
2025-01-02 21:00:00+00:00,3453.0,3455.93,3443.01,3454.2,6454.7338
2025-01-02 22:00:00+00:00,3454.2,3454.2,3421.79,3440.61,9097.7128
2025-01-02 23:00:00+00:00,3440.6,3456.99,3437.49,3455.67,7571.1691
2025-01-03 00:00:00+00:00,3455.68,3466.54,3446.75,3449.22,6987.2027
2025-01-03 01:00:00+00:00,3449.22,3465.59,3442.62,3464.83,7084.8117
2025-01-03 02:00:00+00:00,3464.83,3477.03,3457.04,3457.95,9491.4632
2025-01-03 03:00:00+00:00,3457.96,3472.89,3456.02,3470.16,6813.8043
2025-01-03 04:00:00+00:00,3470.17,3470.94,3456.0,3458.38,4721.452
2025-01-03 05:00:00+00:00,3458.39,3460.51,3444.81,3455.98,5278.9939
2025-01-03 06:00:00+00:00,3455.98,3461.51,3442.0,3442.6,6067.3688
2025-01-03 07:00:00+00:00,3442.59,3444.4,3432.44,3433.27,10366.9208
2025-01-03 08:00:00+00:00,3433.27,3442.51,3423.44,3430.2,9863.8558
2025-01-03 09:00:00+00:00,3430.2,3450.85,3429.11,3443.62,8419.4183
2025-01-03 10:00:00+00:00,3443.63,3452.0,3438.59,3446.01,6043.2111
2025-01-03 11:00:00+00:00,3446.0,3468.01,3446.0,3465.62,8910.8343
2025-01-03 12:00:00+00:00,3465.61,3476.53,3461.26,3463.83,9335.3841
2025-01-03 13:00:00+00:00,3463.83,3498.38,3463.51,3481.85,20429.6258
2025-01-03 14:00:00+00:00,3481.86,3536.64,3481.61,3527.19,40404.7648
